DISTRITO,PROVINCIA,LAT_DIST,LON_DIST
TRITA,LUYA,-6.1555302,-77.9810816
COCABAMBA,LUYA,-6.6323195,-78.0132333
SANTO TOMAS,LUYA,-6.5731418,-77.8656837
PISUQUIA,LUYA,-6.4703841,-78.0920018
PROVIDENCIA,LUYA,-6.315809,-78.2931775
SAN FRANCISCO DEL YESO,LUYA,-6.6274101,-77.8624737
LONGUITA,LUYA,-6.4030263,-78.0036764
CONILA,LUYA,-6.1153759,-78.2132816
MARIA,LUYA,-6.4293408,-77.9603576
COLCAMAR,LUYA,-6.2994624,-77.9728542
SANTA CATALINA,LUYA,-6.077409,-78.0957726
SAN CRISTOBAL,LUYA,-6.0777959,-77.9467902
OCUMAL,LUYA,-6.3544697,-78.1493139
INGUILPATA,LUYA,-6.2547417,-78.0130499
SAN JUAN DE LOPECANCHA,LUYA,-6.4795147,-77.9026638
SAN NICOLAS,RODRIGUEZ DE MENDOZA,-6.3717523,-77.4542606
HUAMBO,RODRIGUEZ DE MENDOZA,-6.4289457,-77.5378361
MARISCAL BENAVIDES,RODRIGUEZ DE MENDOZA,-6.3866552,-77.5039959
OMIA,RODRIGUEZ DE MENDOZA,-6.4034053,-77.3479863
VISTA ALEGRE,RODRIGUEZ DE MENDOZA,-6.1502716,-77.3033308
CHIRIMOTO,RODRIGUEZ DE MENDOZA,-6.5396037,-77.4200595
LIMABAMBA,RODRIGUEZ DE MENDOZA,-6.498057,-77.4985751
COCHAMAL,RODRIGUEZ DE MENDOZA,-6.4088881,-77.5775042
LONGAR,RODRIGUEZ DE MENDOZA,-6.3854681,-77.546239
MILPUC,RODRIGUEZ DE MENDOZA,-6.4986968,-77.4400442
BAGUA GRANDE,UTCUBAMBA,-5.754216,-78.4421686
CAJARURO,UTCUBAMBA,-5.7369151,-78.4299829
LONYA GRANDE,UTCUBAMBA,-6.0965677,-78.4213209
EL MILAGRO,UTCUBAMBA,-5.6376206,-78.55816
CUMBA,UTCUBAMBA,-5.9356569,-78.6640646
YAMON,UTCUBAMBA,-6.0077734,-78.5259826
JAMALCA,UTCUBAMBA,-5.8942887,-78.2383681
UTCUBAMBA,UTCUBAMBA,-5.7536613,-78.4408309
IQUITOS,MAYNAS,-3.749365,-73.2444145
PUNCHANA,MAYNAS,-3.5107986,-73.4877773
YURIMAGUAS,ALTO AMAZONAS,-5.8951672,-76.1046533
LAGUNAS,ALTO AMAZONAS,-5.2269531,-75.6796596
